City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,laojunmiao,39.8333,97.7333,14.34,31,31,2,CN,1686087699
335,midland,31.9974,-102.0779,29.71,34,34,0,US,1686087699
336,pikalevo,59.5183,34.1664,4.85,63,63,83,RU,1686087699
337,kendari,-3.945,122.4989,22.05,92,92,13,ID,1686087106
338,mooloolaba,-26.6833,153.1167,16.14,93,93,41,AU,1686087699
339,rio rancho,35.2334,-106.6645,30.54,31,31,0,US,1686087508
340,katsuura,35.1333,140.3,18.72,94,94,99,JP,1686087445
341,kokopo,-4.352,152.2633,26.74,75,75,100,PG,1686087699
342,leava,-14.3,-178.1667,27.72,76,76,99,WF,1686087700
343,port hedland,-20.3167,118.5667,14.03,77,77,59,AU,1686087700
344,el calafate,-50.3408,-72.2768,2.2,79,79,2,AR,1686087102
345,marataizes,-21.0433,-40.8244,20.71,79,79,1,BR,1686087511
346,iranshahr,27.2025,60.6848,34.19,22,22,9,IR,1686087700
347,bargaal,11.2864,51.0773,29.19,75,75,75,SO,1686087700
348,misratah,32.3754,15.0925,20.97,74,74,79,LY,1686087700
349,ar ruways,24.1103,52.7306,29.73,63,63,0,AE,1686087700
350,queenstown,-31.8976,26.8753,8.95,32,32,0,ZA,1686087700
351,newman,37.3138,-121.0208,28.19,39,39,7,US,1686087701
352,fortaleza,-3.7227,-38.5247,27.9,83,83,40,BR,1686087558
353,villa emilio carranza,19.9667,-96.6,29.21,69,69,30,MX,1686087701
354,richards bay,-28.783,32.0377,18.23,80,80,0,ZA,1686087701
355,kerikeri,-35.2268,173.9474,13.84,92,92,96,NZ,1686087701
356,loiza,18.4313,-65.8802,33.98,61,61,40,PR,1686087701
357,darazo,10.9938,10.4118,29.63,47,47,68,NG,1686087701
358,uturoa,-16.7333,-151.4333,26.47,71,71,87,PF,1686087701
359,mendoza,-32.8908,-68.8272,19.74,49,49,0,AR,1686087546
360,sivasli,38.4994,29.6836,15.35,71,71,1,TR,1686087702
361,pavlovsk,50.4578,40.1081,12.39,73,73,29,RU,1686087702
362,amungan,15.3652,119.9582,26.77,78,78,81,PH,1686087702
363,dunedin,-45.8742,170.5036,7.67,76,76,69,NZ,1686087438
364,trondheim,63.4305,10.3951,9.03,90,90,24,NO,1686087673
365,keflavik,64.0049,-22.5624,5.95,81,81,75,IS,1686087702
366,tuburan,6.6439,122.2736,25.05,78,78,100,PH,1686087702
367,mhamid,29.82,-5.72,32.23,20,20,100,MA,1686087702
368,kingston,17.997,-76.7936,30.69,76,76,75,JM,1686087702
369,darovskoy,58.77,47.9564,8.46,92,92,92,RU,1686087702
370,urangan,-25.3,152.9,19.94,67,67,40,AU,1686087107
371,bowen,-20.0167,148.2333,21.52,80,80,55,AU,1686087703
372,howard springs,-12.497,131.047,22.12,76,76,5,AU,1686087703
373,nouadhibou,20.931,-17.0347,22.99,83,83,0,MR,1686087703
374,kingscliff,-28.2667,153.5667,16.89,77,77,75,AU,1686087703
